left_actor_name,arrow,right_actor_name
Meg Ryan,<->,Hugh Jackman
Meg Ryan,<->,Liev Schreiber
Meg Ryan,<->,Breckin Meyer
Kenneth Tobey,<->,Brinke Stevens
Kenneth Tobey,<->,R.G. Wilson
Kenneth Tobey,<->,John Goodwin
Crispin Glover,<->,Vanessa Redgrave
Crispin Glover,<->,John Hurt
Crispin Glover,<->,Margot Kidder
Dean Cain,<->,Thomas Ian Griffith
Dean Cain,<->,Justin Whalin
Dean Cain,<->,Jodi Bianca Wise
Jackie Shroff,<->,Nana Patekar
Jackie Shroff,<->,Kumar Gaurav
Jackie Shroff,<->,Jaaved Jaaferi
Rosa Navarra,<->,Rudy Giuliani
Rosa Navarra,<->,Dom DeLuise
Rosa Navarra,<->,Frank Vincent
Rosa Navarra,<->,Kenneth Favre
Rosa Navarra,<->,Gerry Sanseviero
Rosa Navarra,<->,Todo Segalla
Rosa Navarra,<->,Antonia Sisti
Ian Hart,<->,Claudia Wells
Ian Hart,<->,Lina Broydo
Ian Hart,<->,Ian Davidson
Andras Jones,<->,Seth Green
Andras Jones,<->,Jeffrey Combs
Andras Jones,<->,Wendy Robie
Al Pacino,<->,Jerry Orbach
Al Pacino,<->,Susan Floyd
Al Pacino,<->,Ellen McElduff
Javier Bardem,<->,Laura Morante
Javier Bardem,<->,Juan Diego Botto
Javier Bardem,<->,Elvira Mínguez
Scott Bloom,<->,Kevin Connolly
Scott Bloom,<->,Tobey Maguire
Scott Bloom,<->,Leonardo DiCaprio
Ally Sheedy,<->,Brian O'Halloran
Ally Sheedy,<->,Justin Henry
Ally Sheedy,<->,Jason David Frank
Michael Ironside,<->,Julie Strain
Michael Ironside,<->,Billy Idol
Michael Ironside,<->,Pier Paquette
Robert Davi,<->,Kelly LeBrock
Robert Davi,<->,Byron Taylor
Robert Davi,<->,Roxanne Burger
Philip Seymour Hoffman,<->,William H. Macy
Philip Seymour Hoffman,<->,Rebecca Pidgeon
Philip Seymour Hoffman,<->,Michael Higgins
Brian O'Halloran,<->,Bryan Johnson
Brian O'Halloran,<->,Jerry Lewkowitz
Brian O'Halloran,<->,Ethan Suplee
Mel Gibson,<->,Julia Sawalha
Mel Gibson,<->,Phil Daniels
Mel Gibson,<->,Lynn Ferguson
Ioan Gruffudd,<->,Michael Chiklis
Ioan Gruffudd,<->,Chris Evans
Ioan Gruffudd,<->,Jessica Alba
Salma Hayek,<->,Alfred Molina
Salma Hayek,<->,Geoffrey Rush
Salma Hayek,<->,Mía Maestro
Johnny Depp,<->,Heather Graham
Johnny Depp,<->,Ian Holm
Johnny Depp,<->,Robbie Coltrane
Stephen McHattie,<->,Laura Harris
Stephen McHattie,<->,Jason Priestley
Stephen McHattie,<->,Gordon Michael Woolvett
Elijah Wood,<->,Ian McKellen
Elijah Wood,<->,Orlando Bloom
Elijah Wood,<->,Sean Bean
Jeremy Davies,<->,Milla Jovovich
Jeremy Davies,<->,Mel Gibson
Jeremy Davies,<->,Jimmy Smits
Tom Cruise,<->,Dougray Scott
Tom Cruise,<->,Thandiwe Newton
Tom Cruise,<->,Ving Rhames
Milla Jovovich,<->,Michelle Rodriguez
Milla Jovovich,<->,Ryan McCluskey
Milla Jovovich,<->,Oscar Pearce
Kevin Spacey,<->,Julianne Moore
Kevin Spacey,<->,Judi Dench
Kevin Spacey,<->,Cate Blanchett
Martin Kove,<->,Tane McClure
Martin Kove,<->,Bruce Abbott
Martin Kove,<->,Robert Z'Dar
Patrick Stewart,<->,Hugh Jackman
Patrick Stewart,<->,Ian McKellen
Patrick Stewart,<->,Famke Janssen
Tommy Lee Jones,<->,Will Smith
Tommy Lee Jones,<->,Rip Torn
Tommy Lee Jones,<->,Lara Flynn Boyle
Matt Damon,<->,Drew Barrymore
Matt Damon,<->,Bill Pullman
Matt Damon,<->,Jim Breuer
David Spade,<->,John Goodman
David Spade,<->,Eartha Kitt
David Spade,<->,Patrick Warburton
Johnny Depp,<->,Helena Bonham Carter
Johnny Depp,<->,Emily Watson
Johnny Depp,<->,Tracey Ullman
Tony Devon,<->,Lori Singleton
Tony Devon,<->,Mark Dermott
Tony Devon,<->,Thomas Finn
Hayden Christensen,<->,Natalie Portman
Hayden Christensen,<->,Ewan McGregor
Hayden Christensen,<->,Christopher Lee
Hayden Christensen,<->,Natalie Portman
Hayden Christensen,<->,Ewan McGregor
Hayden Christensen,<->,Samuel L. Jackson
Dennis Hopper,<->,Marley Shelton
Dennis Hopper,<->,Devon Gummersall
Dennis Hopper,<->,Talia Shire
Thomas Haden Church,<->,Justin Urich
Thomas Haden Church,<->,Lisa Loeb
Thomas Haden Church,<->,Rick Overton
David Duchovny,<->,Minnie Driver
David Duchovny,<->,Carroll O'Connor
David Duchovny,<->,Robert Loggia
Alex D. Linz,<->,Shirley MacLaine
Alex D. Linz,<->,Gary Sinise
Alex D. Linz,<->,Joey Lauren Adams
John Savage,<->,James Wilder
John Savage,<->,Joanne Baron
John Savage,<->,Ceasar Cavaricci
Lillo Brancato,<->,Justina Machado
Lillo Brancato,<->,Keith Brunsmann
Lillo Brancato,<->,David Kriegel
Sigourney Weaver,<->,Jennifer Love Hewitt
Sigourney Weaver,<->,Gene Hackman
Sigourney Weaver,<->,Ray Liotta
Mike Myers,<->,Eddie Murphy
Mike Myers,<->,Cameron Diaz
Mike Myers,<->,John Lithgow
Billy Crudup,<->,Bill Haugland
Billy Crudup,<->,Nelson Landrieu
Billy Crudup,<->,Ivonne Coll
Terry Kiser,<->,Richard Moll
Terry Kiser,<->,Dee Wallace
Terry Kiser,<->,Kevin Dean Williams
D.B. Sweeney,<->,Julianna Margulies
D.B. Sweeney,<->,Samuel E. Wright
D.B. Sweeney,<->,Alfre Woodard
Sean Miller,<->,Jonny Spanish
Sean Miller,<->,Julienne Hanzelka Kim
